quotation	type	source	translation	notes
Crede mihi, multos habeas cum dignus amicos, Non fuit e multis quolibet ille minor.		ovidius	Believe me, although you deservedly have many friends, he out of those many was inferior to none.	
Da locum melioribus.		terentius	Give way to your betters.	The same maxim of modesty is inculcated by our Saviour, in Luke xiv. 8.
Cum duplicantur lateres venit Moses.			When the tale of bricks is doubled, then comes Moses;	"to the rescue of the Israelites. A mediaeval proverb, meaning that, ""when things are at the worst they will mend."""
Crede mihi, res est ingeniosa dare.		ovidius	Believe me, it is a noble thing to give.	
Da mihi mutuum testimonium.		cicero	Give me your testimony, and I'll do as much for you.	Claw me, and I'll claw thee.
Crede quod est quod vis; ac desine tuta vereri; Deque fide certa sit tibi certa fides.		ovidius	Believe that that is, which thou dost wish to be; cease to fear for what is secure, and have a certain assurance of undoubted constancy.	
Da modo lucra mihi, da facto gaudia lucro; Et face ut emptori verba dedisse juvet.		ovidius	Do but grant me profit, give me the delight that arises from making a bargain, and grant that it may prove to my advantage to have imposed upon my customers.	The prayer of a fraudulent tradesman to Mercury.
Da, Pater, augustam menti conscendere sedem; Da fontem lustrare boni; da, luce reperta, In te conspicuos animi defigere visus!		boethius	Grant, Father, that my mind may climb to thy august abode; grant that it may survey the source of good; grant that, when it has gained the light, I may fix my full gaze on thee!	
Da populo, da verba mihi; sine nescius errem.		ovidius	Deceive the public, deceive me too; in my ignorance let me be mistaken.	
Cum est concupita pecunia, nec ratio sanat cupiditatem, existit morbus animi eique morbo nomen est avaritia.		cicero	When money is coveted, and the desire is not cured by reason, there is a disease of the mind, and the name of that disease is 'avarice.'	
Da, precor, ingenio praemia digna meo.		ovidius	Grant, I pray, a reward worthy of my genius.	
Crede quod habes, et habes.			Believe that you have it, and you have it.	This is not universally true — witness the unhappy termination of Alnaschar's reverie, whose story is told in the Spectator and the Arabian Nights.
Da spatium tenuemque moram, male cuncta ministrat Impetus.		statius	Allow time and a short delay, haste and violence mar everything.	
Cum feriunt unum, non unum fulmina terrent.		ovidius	When the lightning strikes but one, not one only does it alarm.	
Credebant hoc grande nefas, et morte piandum, Si juvenis vetulo non assurrexerat.		iunius iuvenalis	They used to hold it to be a heinous sin, and one that death alone could expiate, if a young man did not rise to pay honour to an elder.	
Da veniam lacrymis.			Grant pardon to these tears.	
Cum fortuna manet, vultum servatis amici; Cum cedit, turpi vertitis ora fuga.		petronius arbiter	While prosperity lasts, you, my friends, give me your countenance; when it fails, you turn away your faces in disgraceful flight.	
Credite, posteri!		horatius	Believe it, Posterity!	
Dabit Deus his quoque finem.		virgilius	God will grant an end to even these misfortunes.	A phrase generally applied to public calamities, and the only real consolation that they will admit of.
Cum fortuna perit, nullus amicus erit.			When fortune fails us, we shall have no friend left.	
Credo pudicitiam, Saturno rege, moratam In terris.		iunius iuvenalis	In the reign of Saturn I believe that chastity did exist in the world.	"The reign of Saturn was the ""golden age"" of the Romans. Juvenal is speaking of the almost universal corruption of the Roman females in his day."
Damna minus consueta movent.		iunius iuvenalis	Misfortunes to which we are used affect us less severely.	"To the same effect is our vulgar adage — ""Eels become accustomed to skinning."""
Cum fueris felix, quae sunt adversa caveto; Non eadem cursu respondent ultima primis.		cato	When you are enjoying prosperity, provide against adversity; the end of life will not be attended by the same train of fortunate circumstances as the beginning.	
Credula res amor est.		ovidius	Love is a credulous thing.	
Damnant quod non intelligunt.		cicero	They condemn what they do not understand.	They make up by positiveness of assertion for lack of real knowledge.
Cum furor haud dubius, cum sit manifesta phrenesis, Ut locuples moriaris, egentis vivere fato.		iunius iuvenalis	Since it is undoubted madness, manifest insanity, to live the life of a beggar that you may die rich.	
Damnosa haereditas.	law term		A losing property.	A property, the possession of which entails loss on the owner.
Damnosa quid non imminuit dies?		horatius	What does not all-destructive time impair?	
Credula vitam Spes fovet, ac melius eras fore semper ait.		tibullus	Credulous hope cherishes life, and ever tells us that to-morrow will be better.	
Cum grano salis.	proverb		With a grain of salt.	With something which will help us to swallow it; with some latitude or allowance. Said of anything to which we are unable to give implicit credence.
Damnosa senem juvat alea, ludit et haeres.		iunius iuvenalis	If the destructive dice have pleasures for the father, his son will be a gamester.	"So our proverb, ""Bad hen, bad eggs."" See Mala gallina, &c."
Crescentem sequitur cura pecuniam, Majorumque fames. Multa petentibus, Desunt multa. Bene est cui Deus obtulit Parca quod satis est manu.		horatius	Care attends accumulated wealth, and a thirst for still greater riches. They who require much are always in want of much. Happy is he to whom God has given a sufficiency with a sparing hand.	
Cum larvis luctari.	proverb		To wrestle with ghosts.	To speak ill of the dead. See De mortuis, &c.
Crescit amor nummi quantum ipsa pecunia crescit: Et minus hanc optat, qui non habet.		iunius iuvenalis	The love of money increases as fast as our wealth, and he who has none wishes for it the least.	
Damnum absque injuria.	law term		Loss without injury.	That kind of loss which all persons are liable to, who are exposed to the competition of others in the same business or profession as themselves. Loss, in fact, by fair competition.
Damnum appellandum est cum mala, fama lucrum.		publilius syrus	That ought to be called a loss, which is gained by the sacrifice of character.	
Dapes inemptae.		horatius; virgilius	Dainties unbought.	The produce of the farm.
Cum licet fugere ne quaere litem.	proverb		When you can escape it, avoid a law-suit.	
Dapibus supremi Grata testudo Jovis.		horatius	The shell so loved at the feasts of supreme Jove.	Mercury framed the cithara, (the origin of the modern guitar,) by stretching strings across the shell of a tortoise; his music was in high requisition at the table of Jupiter.
Crescit indulgens sibi dirus hydrops.		horatius	The fatal dropsy nursed by self-indulgence increases apace.	"This figure is here used in reference to the ""greed for gain."""
Cum lux altera venit, Jam eras hesternum consumpsimus; ecce aliud cras Egerit hos annos.		persius	When another day arrives, we have consumed the morrow of yesterday; behold, another morrow comes, and so wastes our years.	"A censure against procrastination, ""the thief of time."""
Crescit sub pondere virtus.			Virtue grows under every weight;	shines forth with renewed lustre under every trial. The motto of the Earl of Denbigh.
Cum magna malae superest audacia causae, Creditur a multis fiducia.		iunius iuvenalis	When a bad cause is backed by great impudence, it is believed by many to be the boldness of innocence.	
Dare jura maritis.		horatius	To lay down laws for husbands.	
Dare pondus idonea fumo.		persius	Things suited to give weight to smoke.	To impart value to that which is worthless.
Cum magnis virtutibus affers Grande supercilium.		iunius iuvenalis	With thy high virtues thou dost bring great superciliousness.	
Dat Deus immiti cornua curta bovi.	proverb		God gives short horns to the vicious ox.	"God sends a curst cow short horns."" Much Ado About Nothing, act ii. sc. 1."
Decet affectus animi neque se nimium erigere nec subjicere serviliter.		cicero	We ought neither to allow the affections of the mind to become too much elated, nor yet abjectly depressed.	
Cum moritur dives concurrunt undique cives; Pauperis ad funus vix est e millibus unus.			When a rich man dies, the citizens flock together from every side; at a poor man's funeral there is hardly one out of thousands.	Mediaeval Leonine lines.
Decet patriam nobis cariorem esse quam nosmetipsos.		cicero	Our country ought to be dearer to us than ourselves.	
Cum multis aliis, quae nunc perscribere longum est.			With many other things which it would now be tedious to set forth in writing.	A line often used in an ironical sense. To whom does it belong?
Dat inania verba, Dat sine mente sonum.		virgilius	He utters empty words, he utters sounds without meaning.	
Decies repetita placebit.		horatius	Ten times repeated it will please.	It will be encored again and again.
Cum plus sint potae, plus potiuntur aquae.			The more water is drunk, the more is desired.	See Quo plus, &c.
Dat veniam corvis, vexat censura columbas.		iunius iuvenalis	He grants pardon to the ravens, but visits with heavy censure the doves.	A line often used to signify that the innocent man meets with injustice, while the guilty escape without censure.
Decipimur specie recti.		horatius	We are deceived by an appearance of rectitude.	
Cum prostrata sopore Urget membra quies, et mens sine pondere ludit.		petrnius arbiter	When repose steals over the limbs, extended in sleep, and the mind disports without restraint.	
Decipit Frons prima multos; rara mens intelligit Quod interiore condidit cura angulo.		phaedrus	First appearances deceive many; the penetration of but few enables them to discern that which has been carefully concealed in the inmost corners of the heart.	
Data tempore prosunt, Et data non apto tempore vina nocent.		ovidius	Wine given at a proper time, is useful; given at an improper time, it is injurious.	
Decorum ab honesto non potest separari.		cicero	Propriety cannot be separated from what is honourable.	
Date obulum Belisario.			Give your mite to Belisarius.	It is said that this great general, when blind and aged, was neglected by the emperor Justinian, and obliged to beg for charity. The tale is however treated as a fiction by Gibbon.
Cum pulchris tunicis sumet nova consilia et spes.		horatius	Happy in his fine clothes, he will adopt new plans and cherish fresh hopes.	
Dedecet philosophum abjicere animum.		cicero	It is unbecoming in a philosopher to be dejected.	
Datur ignis, tametsi ab inimicis petas.		plautus	Fire is granted, even though you ask it of your enemies.	It was considered unlucky to refuse fire to any one.
Dedecorant bene nata culpae.		horatius	Vices disgrace what is naturally good.	
Dedimus potestatem.	law term		We have given power.	A writ, or commission, giving certain powers, for the purpose of speeding the business of the court.
Dediscit animus sero quod didicit diu.		seneca	The mind is slow to unlearn what it has been long in learning.	Impressions once made on the mind are not easily erased.
Davus sum, non Oedipus.		terentius	I am Davus, not Oedipus.	I am a plain, simple man, not a conjuror. Oedipus was said to have solved the riddle of the Sphinx.
Cum surges abitura domum, surgemus et omnes.		ovidius	When you rise to go home, we will all rise too.	
Dedit hanc contagio labem, Et dabit in plures.		iunius iuvenalis	Contagion has caused this plague-spot, and will extend it to many more.	
De alieno corio liberalis.	proverb		Liberal of another man's leather.	
Cum tabulis animum censoris sumat honesti.		horatius	Let him, with his papers, assume the spirit of an honest critic.	
Defectio virium adolescentiae vitiis efficitur sapius quam senectutis.		cicero	Loss of strength is more frequently the fault of youth than of old age.	
De alieno largitor, et sui restrictus.		cicero	A bestower of other men's property, but tenacious of his own.	One who is liberal, but at the expense of others.
Cum tristibus severe, cum remissis jucunde, cum senibus graviter, cum juventute comiter vive.		cicero	With those who are of a gloomy turn, be serious; with the idle, be cheerful; with the old, be grave; and with the young, be gay.	
Defendit numerus junctaeque umbone phalanges.		iunius iuvenalis	He is defended by their numbers, and the array of their serried shields.	
De asini umbra disceptare.	proverb		To dispute about an ass's shadow.	To give one's attention to frivolous matters.
Defluit saxis agitatus humor, Concidunt venti, fugiuntque nubes, Et minax, (nam sic voluere,) ponto Unda recumbit.		horatius	The troubled surge falls down from the rocks, the winds cease, the clouds vanish, and the threatening waves, (for such is the will of the sons of Leda,) subside.	
Deforme est de seipso praedicare, falso praesertim.		cicero	It is unseemly to talk of one's self, and more especially to state falsehoods.	
Deformius nihil est ardelione sene.		marcus valerius martialis	There is nothing more unseemly than an aged busybody.	
Degeneres animos timor arguit.		virgilius	Fear shows an ignoble mind.	
Dei plena sunt omnia.		cicero	All things are full of God.	See Sunt Jovis, &c.
De bene esse.	law term		As being well done for the present.	A thing is done de bene esse, when it is done conditionally, and is to stand good till some time named, when the question of its being rightly or wrongly done will be determined. Depositions are often taken de bene esse, the question as to whether they shall be used for the benefit of the party so taking them, being reserved for consideration at a future time.
Delectando pariterque monendo.		horatius	Pleasing as well as instructing.	Having an eye both to the useful and the ornamental. See Omne tulit, &c.
De calceo sollicitus, at pedem nihil curans.	proverb		Anxious about the shoe, but careless about the foot.	Said of those who are more thoughtful about outside appearances than the cultivation of the mind.
Delegata potestas non potest delegari.		edward coke	A power that is delegated cannot again be delegated.	That is, by the person to whom it is delegated.
De duro est ultima ferro. Fugere pudor, verumque, fidesque: In quorum subiere locum fraudesque, dolique, Insidiaeque, et vis, et amor sceleratus habendi.		ovidius	The last age was of hard iron. — Modesty, and truth, and honour took to flight; in place of which succeeded fraud, deceit, treachery, violence, and the cursed hankering for acquisition.	The condition of man after the fall, according to heathen tradition.
Delenda est Carthago.			Carthage must be destroyed.	A phrase with which Cato the Elder used to end all his speeches, to stimulate the people to the destruction of Carthage, which from its wealth and commerce he looked upon as the most dangerous enemy of Rome.
De facto.			From the thing done.	Because it is so. An usurper holds a throne de facto, not by right, but might.
Deleo omnes dehinc ex animo mulieres.		terentius	From henceforth I blot out all women from my mind.	
Deliberando saepe perit occasio.		publilius syrus	The opportunity is often lost by deliberating.	This may occur where we have to perform a duty in a given time.
Cum volet illa dies, quae nil nisi corporis hujus Jus habet, incerti spatium mihi finiat aevi.		ovidius	Let that day, which has no power but over this body of mine, put an end to the term of my uncertain life, when it will.	
Deliberandum est diu quod statuendum est semel.		publilius syrus	Time must be taken for deliberation, where we have to determine once for all.	
Cuncta prius tentata: sed immedicabile vulnus Ense recidendum, ne pars sincera trahatur.		ovidius	All methods have been already tried; but a wound that admits of no cure must be cut away, that the sounder parts may not be corrupted.	
Deliberare utilia, mora est tutissima.		publilius syrus	To deliberate about useful things is the safest of all delay.	
De fumo disceptare.	proverb		To dispute about smoke.	To wrangle about trifles. See De asini, &c.
Cunctando restituit rem.		ennius	He saved the state by delay.	Said in praise of Fabius, who saved Rome by avoiding an engagement with Hannibal.
Deliberat Roma, perit Saguntum.	proverb		Rome deliberates, Saguntum perishes.	The Saguntines, the brave allies of Rome, perished while the Romans were deliberating how to save them. Too much deliberation is nearly as dangerous as too little. See Dum deliberamus, &c.
De fumo in flammam.	proverb		Out of the smoke into the flame.	"Quoted by Ammianus Marcellinus. Similar to our proverb, ""Out of the frying-pan,"" &c."
Deliciae illepidae atque inelegantes.		catullus	Gross and vulgar pleasures.	
De gustibus non est disputandum.			There is no disputing about tastes.	"Like our saying, ""What is one man's meat is another man's poison."""
Deliramenta doctrinae.			The ravings of the learned.	Such, for instance, as the question which was seriously argued among the schoolmen, how many angels could dance on the point of a needle.
De hoc multi multa, omnes aliquid, nemo satis.			Of this matter many people have said many things, all something, no one enough.	
Delirant reges, plectuntur Achivi.		horatius	The kings play the madman, the Achaeans (the people) are punished for it.	When kings fight, it is at the expense of the blood and treasure of their subjects.
De jure.			"From what is lawful, or ""by law."""""""	Possession de jure is possession by right of law.
Delphinum natare doces.	proverb		You are teaching a dolphin how to swim.	You are teaching your grandam to suck eggs.
Delphinum sylvis appingit, fluctibus aprum.		horatius	He paints a dolphin in the woods, a boar in the waves.	A description of the incongruities of a wretched painter.
Demetri, teque Tigelli, Discipularum inter jubeo plorare cathedras.		horatius	You, Demetrius, and you, Tigellius, I bid lament among the forms of your female pupils.	Addressed to frivolous authors.
De lana caprina.			About goat's wool.	About a worthless object.
Demitto auriculas ut iniquae mentis asellus.		horatius	Like an ass of stubborn disposition, I drop my ears.	
De male quaesitis vix gaudet tertius haeres.			A third heir seldom enjoys property dishonestly got.	"Hence the saying, ""Badly got, badly gone."" See male parta, &c."
Denique non omnes eadem mirantur amantque.		horatius	All men, in fact, do not admire and love the same things.	No two men probably have the same tastes, any more than exactly similar bodies and features.
De medietate linguae.	law term		Of a moiety of languages.	A jury empannelled to try a foreigner, when, at his request, one half of it is composed of foreigners, is a jury de medietate linguae.
Deo dante nil nocet invidia, et non dante, nil proficit labor.			With the favour of God, envy cannot injure us; without that favour, all our labours are of no avail.	
De mendico male meretur, qui ei dat quod edat, aut quod bibat, Nam et illud quod dat perdit, et illi producit vitam ad miseriam.		plautus	He deserves ill of a beggar, who gives him to eat or to drink; for he both loses that which he gives, and prolongs for the other a life of misery.	
Deo favente.			With God's favour.	
Cuncti adsint, meritaeque expectent praemia palmae.		virgilius	Let all attend, and await the reward of well-earned laurels.	
De minimis non curat lex.	legal maxim		The law takes no notice of extreme trifles.	The theft of a pin, for instance.
Deo juvante.			With God's help.	
Cunctis servatorem liberatoremque acclamantibus.			All hailing him as their saviour and deliverer.	
Deo optimo maximo.			To God, all good and all great.	The usual beginning of epitaphs in Roman Catholic countries, denoted by the initials, D. O. M.
Cupido dominandi cunctis affectibus flagrantior est.		tacitus	The desire of rule is the most powerful of all the affections of the mind.	
De missa ad mensam.			"From mass to table, or, to preserve the jingle, ""From mass to mess."""""""	A mediaeval saying, implying that the only active employment of the monks was to eat and say their prayers.
Deo volente.			God willing.	Often denoted by the initials, D. V.
De mortuis nil nisi bonum.			Of the dead be nothing said but what is good.	Silence, at least, is a duty where we cannot praise the dead.
Deorum cibus est.	proverb		'Tis food fit for the gods.	
De motu proprio.			From his own impulse.	Of his own free will.
Deprendi miserum est.		horatius	To be detected is a shocking thing.	
De multis grandis acervus erit.		ovidius	Out of many things a large heap is made.	
Cur ante tubam tremor occupat artus?		virgilius	Why does tremor seize the limbs before the trumpet sounds?	That is, before the signal for battle.
Derelictio communis utilitatis contra naturam est.		cicero	The abandonment of the common good is contrary to nature.	
De nihilo nihil, in nihilum nil posse reverti.		persius	From nothing there is nothing made, and no existing thing can be reduced to nothing.	The doctrine of the Epicureans as to the eternity of matter. See Lucretius, B. i. l. 160—265.
Cur in theatrum, Cato severe, venisti?		marcus valerius martialis	Why, Cato, with all thy gravity, didst thou come to the theatre?	On the occasion of the indecent celebration of the Floralia, when he only came that he might be seen to depart. See An ideo, &c. (App.)
Cur indecores in limine primo Deficimus?		virgilius	Why faint we inglorious at the very outset?	
Cur me querelis exanimas tuis?		horatius	Why worry me to death with your complaints?	
De non apparentibus, et non existentibus, eadem est ratio.		edward coke	The reasoning is the same as to things which do not appear, and those which do not exist.	
De omnibus rebus, et quibusdam aliis.			About everything, and something more besides.	Said ironically of a voluminous book, or of a speech in which numerous topics are discussed. The saying is said to have derived its origin from the circumstance that Smalgruenius first wrote a work entitled De omnibus rebus, and then another, De quibusdam aliis. The same story has, however, been fathered on Thomas Aquinas.
De paupertate tacentes Plus poscente ferent.		horatius	Those who are silent as to their poverty will obtain more than he who begs.	So the lion rewarded the modest traveller, and rebuffed the importunate robber. See Phaedrus' Fables, B. II. Fab. I.
De pilo, or de filo, pendet.	proverb		"It hangs by a hair, or ""by a thread."""""""	The risk, or danger, is imminent. Originally said in reference to the sword which Dionysius of Syracuse caused to be suspended over the head of the courtier Damocles.
De quo libelli in celeberrimis locis proponuntur, huic ne perire quidem tacite conceditur.		cicero	The man who is publicly arraigned is not allowed even to be ruined in quiet.	
Cur moriatur homo, cut salvia crescit in horto?	maxim of the School of Health at Salerno		Why should the man die in whose garden sage grows?	"""He that would live for aye, Must eat sage in May."" Sage is a good stomachic, and its medicinal qualities were highly valued in former times. It is said to have derived its name from the Latin salvus, ""safe,"" or ""healthy."""
De vita hominis nulla cunctatio longa est.		iunius iuvenalis (adapted)	When the life of a man is at stake, no delay can be too long.	See Audi, nulla, &c.
Deridet, sed non derideor.			He laughs, but I am not laughed at.	Said by a wise man, who will not take an affront.
Cur moriatur homo qui sumit de cinamomo?	maxim of the School of Health at Salerno		Why should the man die who takes cinnamon?	
Debetis velle quae velimus.		plautus	You ought to wish as we wish.	
Derivativa potestas non potest esse major primitiva.	law maxim		A power that is derived cannot be greater than that from which it is derived.	
Debile principium melior fortuna sequetur.			Better fortune will succeed a weak beginning.	
Cur nescire, pudens prave, quam discere malo?		horatius	Why do I prefer, through false modesty, to be ignorant rather than learn?	
Debilem facito manu, Debilem pede, coxa, Lubricos quate dentes, Vita dum superest, bene est.		seneca (a portion of a fragment of Maecenas)	Make me weak in the hands, weak in the feet and hips, dash out my failing teeth. So long as life remains 'tis well.	The words of a man who clings to life at any cost.
Cur non, ut plenus vitae conviva, recedis? Aequo animoque capis securam, stulte, quietem.		lucretius	Why not, fool, like a well-filled guest at life's banquet, withdraw, and, with contented mind, take a repose that is removed from every care?	
Descriptas servare vices, operumque colores, Cur ego, si nequeo ignoroque, poeta salutor?		horatius	If I am incapable of, and ignorant how to observe the distinctions described, and the complexions of works of genius, why am I saluted with the name of 'Poet'?	
Desiderantem quod satis est, neque Tumultuosum sollicitat mare, Non verberatae grandine vineae, Fundusve mendax.		horatius	Him who desires but a competence, neither the tempestuous sea renders anxious, nor yet vineyards pelted with hail, nor disappointments in his farm.	
Debito justitiae, or E debito justitiae.	law phrase		By debt of justice.	By virtue of a claim justly established.
Deceptio visus.			A deceiving of the sight.	"An illusion practised on the eye. ""An ocular deception."""
Designatio unius est exclusio alterius.		edward coke	The mention of one condition implies the exclusion of another.	
Desinant Maledicere, facta ne noscant sua.		terentius	Let them cease to speak ill of others, lest they should happen to hear of their own doings.	
Desine fata Deum flecti sperare precando.		virgilius	Cease to hope that the decrees of the gods can be changed through your prayers.	
Desinat in piscem mulier formosa superne.		horatius	A woman beautiful above, ends in the tail of a fish.	A description of bad taste and incongruity of style.
Destitutus ventis remos adhibe.			When the wind fails, ply your oars.	
Desunt caetera.			The rest is wanting.	Words often placed at the end of an imperfect narrative.
Desunt inopias multa, avaritiae omnia.	proverb		Poverty is in want of much, avarice of everything.	With the one, a wish to gain money is natural, with the other, a disease.
Dicite Io Paean, et Io bis dicite Paean; Decidit in casses praeda petita meos.		ovidius	Sing Io Paean, and Io Paean twice sing, the prey that was sought has fallen into our toils.	Ovid says this, having taught the men the arts of successful courtship. Art of Love, B. ii.
Dei ille veniam facile, cui venia est opus.		seneca	He who needs pardon, should readily grant pardon.	
Doctrina sed vim promovet insitam, Rectique cultus pectora roborant: Utcunque defecere mores, Dedecorant bene nata culpae.		horatius	But learning improves the innate force, and good discipline confirms the mind; whenever morals are deficient, vices disgrace what is naturally good.	
Deteriores omnes sumus licentia.		terentius	We are all of us the worse for too much licence.	There are spoilt children even among men.
Dicitis, omnis in imbecillitate est et gratia et caritas.		cicero	You affirm that all kindness and benevolence is founded in weakness.	
Dolendi modus, timendi non autem.		gaius plinius caecilius secundus	To grief there is a limit, not so to fear.	
Dicitur certe vulgari quodam proverbio; Qui me amat, amat et canem meum.		st bernard	At all events there is a certain common proverb which says, Love me, love my dog.	
Doli non doli sunt, nisi astu colas.		plautus	Fraud ceases to be a fraud, if not artfully planned.	The intention with which an action is done gives it its real weight and importance.
Detestando illo crimine, scelera omnia complexa sunt.		cicero	In that one detestable crime all wickedness is comprised.	
Dicta tibi est lex.		horatius	The law has been laid down for you.	
Dolium volvitur.	proverb		A cask is soon set a rolling.	A weak man is easily turned from his purpose.
Detrahere aliquid alteri, et hominem hominis incommodo suum augere commodum, magis est contra naturam quam mors, quam paupertas, quam dolor, quam caetera quae possunt aut corpori accidere, aut rebus externis.		cicero	To deprive another of anything, and for one man to increase his own advantage by the distress of another, is more repugnant to nature, than death, or poverty, or grief, or any other contingencies that can possibly befall our bodies, or affect our external circumstances.	
Dicto celerius hostis abscidit caput, Victorque rediit.		phaedrus	Sooner than you could say it, he whipped off the head of the enemy, and returned victorious.	
Dolor decrescit, ubi quo crescat non habet.		publilius syrus	Grief decreases, when it has nothing to make it increase.	
Detur aliquando otium quiesque fessis.		seneca	Rest and repose should sometimes be granted to the weary.	The bow must be sometimes unstrung.
Dictum de dicto.			A report founded on hearsay.	
Dolorem aut extimescere venientem, aut non ferre praesentem, turpe est.		cicero	To be terrified at an approaching evil, or not to be able to bear up against it when present, is disgraceful.	
Detur pulchriori.			Let it be given to the most beautiful.	The inscription on the golden apple, by adjudging which to the goddess Venus, Paris offended Juno and Minerva, and ultimately caused the Trojan war.
Dolus an virtus, quis in hosie requirat?		virgilius	Who inquires in an enemy whether it was stratagem or valour?	
Deum namque ire per omnes Terrasque, tractusque maris, coelumque profundum.		virgilius	For God, they say, pervades all lands, the tracts of sea, and the heaven profound.	In these lines Virgil gives a broad outline of the Pantheistic philosophy.
Dolus versatur in generalibus.	law maxim		Fraud employs generalities.	
Deus det.			May God grant.	In the middle ages, grace at meat was so called, from the commencing words.
Domi manere convenit felicibus.			Those who are happy at home ought to remain there.	
Domi mansit, lanam fecit.			She stayed at home and spun her wool.	An epitaph upon an exemplary wife.
Domi puer ea sola discere potest quae ipsi praecipientur: in schola etiam quae aliis.		quintilianus	A boy can only learn at home those things which are taught him individually; at school, he can learn by what is taught to others.	
Domine, exaudi.			Lord, listen to my prayer.	
Dictum sapienti sat est.		plautus; terentius	A word to the wise is enough.	A hint is enough for a sensible man.
Dominium a possessione coepisse dicitur.	law maxim		Right is said to have had its beginning in possession.	Length of possession is sufficient to give a legal title.
Dominus vobiscum.			The Lord be with you.	
Dictus eram cuidam subito venisse puellae; Turbida perversas induit illa comas.		ovidius	I was unexpectedly announced as having paid a visit to a certain lady; in her confusion she put on her wig the wrong side before.	
Domitae naturae.			Of a tame nature.	See Ferae naturae.
Diem perdidi!			I have lost a day!	The exclamation of the Emperor Titus, on finding at night that he had done nothing worthy of recollection during the day.
Domus amica domus optima.			The house of a friend is the best of houses.	
Dies adimit aegritudinem.	proverb		Time removes afflictions.	
Domus procerum.			The house of peers.	Often written Dom. proc.
Dies datus.	law term		A day given.	The day appointed for appearing.
Deus est mortali juvare mortalem, et haec ad aeternam gloriam via.		gaius plinius secundus	For man to assist man is to be a god; this is the path that leads to everlasting glory.	
Domus sua est unicuique tutissimum refugium.		edward coke	Every man's house is his safest refuge.	Every man's house is his castle.
Dies dolorem minuit.			Time alleviates grief.	
Dona praesentis cape laetus horae, et Linque severa.		horatius	With cheerfulness enjoy the blessings of the present hour, and banish sad thoughts.	
Dies Dominicus non est juridicus.		edward coke	Sunday is not a day in law.	
Donatio mortis causa.	law term		A gift made in apprehension of death.	A death-bed disposition of property, when a person delivers his personal goods to another to keep, in case of his decease.
Dies faustus.			A lucky day.	
Deus est summum bonum.			God is the supreme good.	
Dies infaustus.			An unlucky day.	
Donec eras simplex, animum cum corpore amavi; Nunc mentis vitio laesa figura tua est.		ovidius	So long as you were disinterested I loved both your mind and your person; now, to me, your appearance is affected by this blemish on your disposition.	
Deus haec fortasse benigna Reducet in sedem vice.		horatius	God will, perhaps, by some propitious change, restore these matters to their former state.	
Dies irae, dies illa, Saeclum solvet in favilla Teste David cum Sibylla.			The day of wrath, that dreadful day, The world in ashes all shall lay — This David and the Sibyl say.	These are the commencing lines of the Sequence used by the Romish Church in the Office of the Dead. The authorship of this hymn, which is of considerable beauty, does not seem to be positively known. It has been attributed to Thomas de Celano, a Minorite friar of the fourteenth century, but, more generally, to Frangipani, Cardinal Malabrancia.
Donec eris felix multos numerabis amicos; Tempora si fuerint nubila, solus eris.		ovidius	So long as you are prosperous you will reckon many friends; if the times become cloudy, you will be alone.	
Dies, ni fallor, adest, quem semper acerbum, Semper honoratum, sic Di voluistis, habebo.		virgilius	The day, if I mistake not, is at hand, which I shall always account a day of sorrow, always a day to be honoured, such, ye gods, has been your will.	
Donum exitiale Minervae.		virgilius	The fatal gift of Minerva.	The wooden horse, by means of which the Greeks gained possession of Troy.
Deus id vult.			It is the will of God.	The cry of the Crusaders at the siege of Jerusalem.
Dies non (juridicus).			No legal day.	"A day on which the courts are closed, and no law proceedings are going on, which is therefore called ""no day."" Such days were by the Romans called ""nefasti."" Sunday is a dies non in law. See Dies Dominicus, &c."
Dormiunt aliquando leges, nunquam moriuntur.		edward coke	The law sometimes sleeps, it never dies.	It is not so much the law that sleeps, as those who ought to put it in force; often from a sense of the impolicy of asserting their legal  rights to the very letter.
Deus misereatur nobis.			God be merciful unto us.	The beginning of the 67th Psalm.
Dies si in obligationibus non ponitur, praesente die debetur.	law maxim		If a day for payment is not stated in a bond, the money is due on the day on which it is executed.	
Dos est magna parentum Virtus.		horatius	The virtue of one's parents is a great dowry.	
Deus nobis haec otia fecit.		virgilius	God has granted unto us this repose.	
Dies solemnes.			Holidays	
Deus omnibus quod sat est suppeditat.			God supplies enough to all.	Because God alone is properly the judge of what is enough.
Duabus anchoris nititur.			She is held by two anchors.	"So our saying, ""He has two strings to his bow."""
Difficile custoditur quod plures amant.			That is preserved with difficulty which many covet.	
Dextras dare.			To give the right hands to each other.	An assurance of mutual friendship, or at least of security, because two right hands, when clasped, cannot conceal any weapon.
Dubiam salutem qui dat afflictis, negat.		seneca	He who gives to the afflicted a dubious support, denies it.	Such support is deprived of its grace, if not of its efficacy.
Difficile est, fateor, sed tendit in ardua virtus.		ovidius	It is difficult, I confess; but true courage seeks obstacles.	
Dextro tempore.		horatius	At a propitious time.	At a lucky moment.
Duc me, Parens, celsique dominator poli, Quocunque placuit; nulla parendi mora est; Adsum impiger.		seneca	Conduct me, Parent of all, and ruler over the lofty heavens, wherever it pleases thee; in obeying thee I make no delay; I am ever ready at thy command.	
Difficile est longum subito deponere amorem.		catullus	It is difficult to relinquish on a sudden a long cherished love.	
